dt;weekday;holiday
2030-11-20;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2030-12-25;wednesday;Natal
2031-01-01;wednesday;Confraternização Universal
2031-02-24;monday;Carnaval
2031-02-25;tuesday;Carnaval
2031-04-11;friday;Paixão de Cristo
2031-04-21;monday;Tiradentes
2031-05-01;thursday;Dia do Trabalho
2031-06-12;thursday;Corpus Christi
2031-09-07;sunday;Independência do Brasil
2031-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2031-11-02;sunday;Finados
2031-11-15;saturday;Proclamação da República
2031-11-20;thursday;Dia Nacional de Zumbi e da Consciência Negra
2031-12-25;thursday;Natal
2032-01-01;thursday;Confraternização Universal
2032-02-09;monday;Carnaval
2032-02-10;tuesday;Carnaval
2032-03-26;friday;Paixão de Cristo
2032-04-21;wednesday;Tiradentes
2032-05-01;saturday;Dia do Trabalho
2032-05-27;thursday;Corpus Christi
2032-09-07;tuesday;Independência do Brasil
2032-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2032-11-02;tuesday;Finados
2032-11-15;monday;Proclamação da República
2032-11-20;saturday;Dia Nacional de Zumbi e da Consciência Negra
2032-12-25;saturday;Natal
2033-01-01;saturday;Confraternização Universal
2033-02-28;monday;Carnaval
2033-03-01;tuesday;Carnaval
2033-04-15;friday;Paixão de Cristo
2033-04-21;thursday;Tiradentes
2033-05-01;sunday;Dia do Trabalho
2033-06-16;thursday;Corpus Christi
2033-09-07;wednesday;Independência do Brasil
2033-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2033-11-02;wednesday;Finados
2033-11-15;tuesday;Proclamação da República
2033-11-20;sunday;Dia Nacional de Zumbi e da Consciência Negra
2033-12-25;sunday;Natal
2034-01-01;sunday;Confraternização Universal
2034-02-20;monday;Carnaval
2034-02-21;tuesday;Carnaval
2034-04-07;friday;Paixão de Cristo
2034-04-21;friday;Tiradentes
2034-05-01;monday;Dia do Trabalho
2034-06-08;thursday;Corpus Christi
2034-09-07;thursday;Independência do Brasil
2034-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2034-11-02;thursday;Finados
2034-11-15;wednesday;Proclamação da República
2034-11-20;monday;Dia Nacional de Zumbi e da Consciência Negra
2034-12-25;monday;Natal
2035-01-01;monday;Confraternização Universal
2035-02-05;monday;Carnaval
2035-02-06;tuesday;Carnaval
2035-03-23;friday;Paixão de Cristo
2035-04-21;saturday;Tiradentes
2035-05-01;tuesday;Dia do Trabalho
2035-05-24;thursday;Corpus Christi
2035-09-07;friday;Independência do Brasil
2035-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2035-11-02;friday;Finados
2035-11-15;thursday;Proclamação da República
2035-11-20;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2035-12-25;tuesday;Natal
2036-01-01;tuesday;Confraternização Universal
2036-02-25;monday;Carnaval
2036-02-26;tuesday;Carnaval
2036-04-11;friday;Paixão de Cristo
2036-04-21;monday;Tiradentes
2036-05-01;thursday;Dia do Trabalho
2036-06-12;thursday;Corpus Christi
2036-09-07;sunday;Independência do Brasil
2036-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2036-11-02;sunday;Finados
2036-11-15;saturday;Proclamação da República
2036-11-20;thursday;Dia Nacional de Zumbi e da Consciência Negra
2036-12-25;thursday;Natal
2037-01-01;thursday;Confraternização Universal
2037-02-16;monday;Carnaval
2037-02-17;tuesday;Carnaval
2037-04-03;friday;Paixão de Cristo
2037-04-21;tuesday;Tiradentes
2037-05-01;friday;Dia do Trabalho
2037-06-04;thursday;Corpus Christi
2037-09-07;monday;Independência do Brasil
2037-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2037-11-02;monday;Finados
2037-11-15;sunday;Proclamação da República
2037-11-20;friday;Dia Nacional de Zumbi e da Consciência Negra
2037-12-25;friday;Natal
2038-01-01;friday;Confraternização Universal
2038-03-08;monday;Carnaval
2038-03-09;tuesday;Carnaval
2038-04-21;wednesday;Tiradentes
2038-04-23;friday;Paixão de Cristo
2038-05-01;saturday;Dia do Trabalho
2038-06-24;thursday;Corpus Christi
2038-09-07;tuesday;Independência do Brasil
2038-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2038-11-02;tuesday;Finados
2038-11-15;monday;Proclamação da República
2038-11-20;saturday;Dia Nacional de Zumbi e da Consciência Negra
2038-12-25;saturday;Natal
2039-01-01;saturday;Confraternização Universal
2039-02-21;monday;Carnaval
2039-02-22;tuesday;Carnaval
2039-04-08;friday;Paixão de Cristo
2039-04-21;thursday;Tiradentes
2039-05-01;sunday;Dia do Trabalho
2039-06-09;thursday;Corpus Christi
2039-09-07;wednesday;Independência do Brasil
2039-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2039-11-02;wednesday;Finados
2039-11-15;tuesday;Proclamação da República
2039-11-20;sunday;Dia Nacional de Zumbi e da Consciência Negra
2039-12-25;sunday;Natal
2040-01-01;sunday;Confraternização Universal
2040-02-13;monday;Carnaval
2040-02-14;tuesday;Carnaval
2040-03-30;friday;Paixão de Cristo
2040-04-21;saturday;Tiradentes
2040-05-01;tuesday;Dia do Trabalho
2040-05-31;thursday;Corpus Christi
2040-09-07;friday;Independência do Brasil
2040-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2040-11-02;friday;Finados
2040-11-15;thursday;Proclamação da República
2040-11-20;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2040-12-25;tuesday;Natal
2041-01-01;tuesday;Confraternização Universal
2041-03-04;monday;Carnaval
2041-03-05;tuesday;Carnaval
2041-04-19;friday;Paixão de Cristo
2041-04-21;sunday;Tiradentes
2041-05-01;wednesday;Dia do Trabalho
2041-06-20;thursday;Corpus Christi
2041-09-07;saturday;Independência do Brasil
2041-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2041-11-02;saturday;Finados
2041-11-15;friday;Proclamação da República
2041-11-20;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2041-12-25;wednesday;Natal
2042-01-01;wednesday;Confraternização Universal
2042-02-17;monday;Carnaval
2042-02-18;tuesday;Carnaval
2042-04-04;friday;Paixão de Cristo
2042-04-21;monday;Tiradentes
2042-05-01;thursday;Dia do Trabalho
2042-06-05;thursday;Corpus Christi
2042-09-07;sunday;Independência do Brasil
2042-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2042-11-02;sunday;Finados
2042-11-15;saturday;Proclamação da República
2042-11-20;thursday;Dia Nacional de Zumbi e da Consciência Negra
2042-12-25;thursday;Natal
2043-01-01;thursday;Confraternização Universal
2043-02-09;monday;Carnaval
2043-02-10;tuesday;Carnaval
2043-03-27;friday;Paixão de Cristo
2043-04-21;tuesday;Tiradentes
2043-05-01;friday;Dia do Trabalho
2043-05-28;thursday;Corpus Christi
2043-09-07;monday;Independência do Brasil
2043-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2043-11-02;monday;Finados
2043-11-15;sunday;Proclamação da República
2043-11-20;friday;Dia Nacional de Zumbi e da Consciência Negra
2043-12-25;friday;Natal
2044-01-01;friday;Confraternização Universal
2044-02-29;monday;Carnaval
2044-03-01;tuesday;Carnaval
2044-04-15;friday;Paixão de Cristo
2044-04-21;thursday;Tiradentes
2044-05-01;sunday;Dia do Trabalho
2044-06-16;thursday;Corpus Christi
2044-09-07;wednesday;Independência do Brasil
2044-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2044-11-02;wednesday;Finados
2044-11-15;tuesday;Proclamação da República
2044-11-20;sunday;Dia Nacional de Zumbi e da Consciência Negra
2044-12-25;sunday;Natal
2045-01-01;sunday;Confraternização Universal
2045-02-20;monday;Carnaval
2045-02-21;tuesday;Carnaval
2045-04-07;friday;Paixão de Cristo
2045-04-21;friday;Tiradentes
2045-05-01;monday;Dia do Trabalho
2045-06-08;thursday;Corpus Christi
2045-09-07;thursday;Independência do Brasil
2045-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2045-11-02;thursday;Finados
2045-11-15;wednesday;Proclamação da República
2045-11-20;monday;Dia Nacional de Zumbi e da Consciência Negra
2045-12-25;monday;Natal
2046-01-01;monday;Confraternização Universal
2046-02-05;monday;Carnaval
2046-02-06;tuesday;Carnaval
2046-03-23;friday;Paixão de Cristo
2046-04-21;saturday;Tiradentes
2046-05-01;tuesday;Dia do Trabalho
2046-05-24;thursday;Corpus Christi
2046-09-07;friday;Independência do Brasil
2046-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2046-11-02;friday;Finados
2046-11-15;thursday;Proclamação da República
2046-11-20;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2046-12-25;tuesday;Natal
2047-01-01;tuesday;Confraternização Universal
2047-02-25;monday;Carnaval
2047-02-26;tuesday;Carnaval
2047-04-12;friday;Paixão de Cristo
2047-04-21;sunday;Tiradentes
2047-05-01;wednesday;Dia do Trabalho
