dt;weekday;holiday
1924387200;wednesday;Natal
1924992000;wednesday;Confraternização Universal
1929657600;monday;Carnaval
1929744000;tuesday;Carnaval
1933632000;friday;Paixão de Cristo
1934496000;monday;Tiradentes
1935360000;thursday;Dia do Trabalho
1938988800;thursday;Corpus Christi
1946505600;sunday;Independência do Brasil
1949529600;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
1951344000;sunday;Finados
1952467200;saturday;Proclamação da República
1952899200;thursday;Dia Nacional de Zumbi e da Consciência Negra
1955923200;thursday;Natal
1956528000;thursday;Confraternização Universal
1959897600;monday;Carnaval
1959984000;tuesday;Carnaval
1963872000;friday;Paixão de Cristo
1966118400;wednesday;Tiradentes
1966982400;saturday;Dia do Trabalho
1969228800;thursday;Corpus Christi
1978128000;tuesday;Independência do Brasil
1981152000;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
1982966400;tuesday;Finados
1984089600;monday;Proclamação da República
1984521600;saturday;Dia Nacional de Zumbi e da Consciência Negra
1987545600;saturday;Natal
1988150400;saturday;Confraternização Universal
1993161600;monday;Carnaval
1993248000;tuesday;Carnaval
1997136000;friday;Paixão de Cristo
1997654400;thursday;Tiradentes
1998518400;sunday;Dia do Trabalho
2002492800;thursday;Corpus Christi
2009664000;wednesday;Independência do Brasil
2012688000;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2014502400;wednesday;Finados
2015625600;tuesday;Proclamação da República
2016057600;sunday;Dia Nacional de Zumbi e da Consciência Negra
2019081600;sunday;Natal
2019686400;sunday;Confraternização Universal
2024006400;monday;Carnaval
2024092800;tuesday;Carnaval
2027980800;friday;Paixão de Cristo
2029190400;friday;Tiradentes
2030054400;monday;Dia do Trabalho
2033337600;thursday;Corpus Christi
2041200000;thursday;Independência do Brasil
2044224000;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2046038400;thursday;Finados
2047161600;wednesday;Proclamação da República
2047593600;monday;Dia Nacional de Zumbi e da Consciência Negra
2050617600;monday;Natal
2051222400;monday;Confraternização Universal
2054246400;monday;Carnaval
2054332800;tuesday;Carnaval
2058220800;friday;Paixão de Cristo
2060726400;saturday;Tiradentes
2061590400;tuesday;Dia do Trabalho
2063577600;thursday;Corpus Christi
2072736000;friday;Independência do Brasil
2075760000;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2077574400;friday;Finados
2078697600;thursday;Proclamação da República
2079129600;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2082153600;tuesday;Natal
2082758400;tuesday;Confraternização Universal
2087510400;monday;Carnaval
2087596800;tuesday;Carnaval
2091484800;friday;Paixão de Cristo
2092348800;monday;Tiradentes
2093212800;thursday;Dia do Trabalho
2096841600;thursday;Corpus Christi
2104358400;sunday;Independência do Brasil
2107382400;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2109196800;sunday;Finados
2110320000;saturday;Proclamação da República
2110752000;thursday;Dia Nacional de Zumbi e da Consciência Negra
2113776000;thursday;Natal
2114380800;thursday;Confraternização Universal
2118355200;monday;Carnaval
2118441600;tuesday;Carnaval
2122329600;friday;Paixão de Cristo
2123884800;tuesday;Tiradentes
2124748800;friday;Dia do Trabalho
2127686400;thursday;Corpus Christi
2135894400;monday;Independência do Brasil
2138918400;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2140732800;monday;Finados
2141856000;sunday;Proclamação da República
2142288000;friday;Dia Nacional de Zumbi e da Consciência Negra
2145312000;friday;Natal
2145916800;friday;Confraternização Universal
2151619200;monday;Carnaval
2151705600;tuesday;Carnaval
2155420800;wednesday;Tiradentes
2155593600;friday;Paixão de Cristo
2156284800;saturday;Dia do Trabalho
2160950400;thursday;Corpus Christi
2167430400;tuesday;Independência do Brasil
2170454400;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2172268800;tuesday;Finados
2173392000;monday;Proclamação da República
2173824000;saturday;Dia Nacional de Zumbi e da Consciência Negra
2176848000;saturday;Natal
2177452800;saturday;Confraternização Universal
2181859200;monday;Carnaval
2181945600;tuesday;Carnaval
2185833600;friday;Paixão de Cristo
2186956800;thursday;Tiradentes
2187820800;sunday;Dia do Trabalho
2191190400;thursday;Corpus Christi
2198966400;wednesday;Independência do Brasil
2201990400;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2203804800;wednesday;Finados
2204928000;tuesday;Proclamação da República
2205360000;sunday;Dia Nacional de Zumbi e da Consciência Negra
2208384000;sunday;Natal
2208988800;sunday;Confraternização Universal
2212704000;monday;Carnaval
2212790400;tuesday;Carnaval
2216678400;friday;Paixão de Cristo
2218579200;saturday;Tiradentes
2219443200;tuesday;Dia do Trabalho
2222035200;thursday;Corpus Christi
2230588800;friday;Independência do Brasil
2233612800;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2235427200;friday;Finados
2236550400;thursday;Proclamação da República
2236982400;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2240006400;tuesday;Natal
2240611200;tuesday;Confraternização Universal
2245968000;monday;Carnaval
2246054400;tuesday;Carnaval
2249942400;friday;Paixão de Cristo
2250115200;sunday;Tiradentes
2250979200;wednesday;Dia do Trabalho
2255299200;thursday;Corpus Christi
2262124800;saturday;Independência do Brasil
2265148800;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2266963200;saturday;Finados
2268086400;friday;Proclamação da República
2268518400;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2271542400;wednesday;Natal
2272147200;wednesday;Confraternização Universal
2276208000;monday;Carnaval
2276294400;tuesday;Carnaval
2280182400;friday;Paixão de Cristo
2281651200;monday;Tiradentes
2282515200;thursday;Dia do Trabalho
2285539200;thursday;Corpus Christi
2293660800;sunday;Independência do Brasil
2296684800;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2298499200;sunday;Finados
2299622400;saturday;Proclamação da República
2300054400;thursday;Dia Nacional de Zumbi e da Consciência Negra
2303078400;thursday;Natal
2303683200;thursday;Confraternização Universal
2307052800;monday;Carnaval
2307139200;tuesday;Carnaval
2311027200;friday;Paixão de Cristo
2313187200;tuesday;Tiradentes
2314051200;friday;Dia do Trabalho
2316384000;thursday;Corpus Christi
2325196800;monday;Independência do Brasil
2328220800;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2330035200;monday;Finados
2331158400;sunday;Proclamação da República
2331590400;friday;Dia Nacional de Zumbi e da Consciência Negra
2334614400;friday;Natal
2335219200;friday;Confraternização Universal
2340316800;monday;Carnaval
2340403200;tuesday;Carnaval
2344291200;friday;Paixão de Cristo
2344809600;thursday;Tiradentes
2345673600;sunday;Dia do Trabalho
2349648000;thursday;Corpus Christi
2356819200;wednesday;Independência do Brasil
2359843200;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2361657600;wednesday;Finados
2362780800;tuesday;Proclamação da República
2363212800;sunday;Dia Nacional de Zumbi e da Consciência Negra
2366236800;sunday;Natal
2366841600;sunday;Confraternização Universal
2371161600;monday;Carnaval
2371248000;tuesday;Carnaval
2375136000;friday;Paixão de Cristo
2376345600;friday;Tiradentes
2377209600;monday;Dia do Trabalho
2380492800;thursday;Corpus Christi
2388355200;thursday;Independência do Brasil
2391379200;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2393193600;thursday;Finados
2394316800;wednesday;Proclamação da República
2394748800;monday;Dia Nacional de Zumbi e da Consciência Negra
2397772800;monday;Natal
2398377600;monday;Confraternização Universal
2401401600;monday;Carnaval
2401488000;tuesday;Carnaval
2405376000;friday;Paixão de Cristo
2407881600;saturday;Tiradentes
2408745600;tuesday;Dia do Trabalho
2410732800;thursday;Corpus Christi
2419891200;friday;Independência do Brasil
2422915200;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
