dt;dia_semana;feriado
2012688000;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2014502400;quarta-feira;Finados
2015625600;terça-feira;Proclamação da República
2016057600;domingo;Dia Nacional de Zumbi e da Consciência Negra
2019081600;domingo;Natal
2019686400;domingo;Confraternização Universal
2024006400;segunda-feira;Carnaval
2024092800;terça-feira;Carnaval
2027980800;sexta-feira;Paixão de Cristo
2029190400;sexta-feira;Tiradentes
2030054400;segunda-feira;Dia do Trabalho
2033337600;quinta-feira;Corpus Christi
2041200000;quinta-feira;Independência do Brasil
2044224000;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2046038400;quinta-feira;Finados
2047161600;quarta-feira;Proclamação da República
2047593600;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2050617600;segunda-feira;Natal
2051222400;segunda-feira;Confraternização Universal
2054246400;segunda-feira;Carnaval
2054332800;terça-feira;Carnaval
2058220800;sexta-feira;Paixão de Cristo
2060726400;sábado;Tiradentes
2061590400;terça-feira;Dia do Trabalho
2063577600;quinta-feira;Corpus Christi
2072736000;sexta-feira;Independência do Brasil
2075760000;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2077574400;sexta-feira;Finados
2078697600;quinta-feira;Proclamação da República
2079129600;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
2082153600;terça-feira;Natal
2082758400;terça-feira;Confraternização Universal
2087510400;segunda-feira;Carnaval
2087596800;terça-feira;Carnaval
2091484800;sexta-feira;Paixão de Cristo
2092348800;segunda-feira;Tiradentes
2093212800;quinta-feira;Dia do Trabalho
2096841600;quinta-feira;Corpus Christi
2104358400;domingo;Independência do Brasil
2107382400;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2109196800;domingo;Finados
2110320000;sábado;Proclamação da República
2110752000;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2113776000;quinta-feira;Natal
2114380800;quinta-feira;Confraternização Universal
2118355200;segunda-feira;Carnaval
2118441600;terça-feira;Carnaval
2122329600;sexta-feira;Paixão de Cristo
2123884800;terça-feira;Tiradentes
2124748800;sexta-feira;Dia do Trabalho
2127686400;quinta-feira;Corpus Christi
2135894400;segunda-feira;Independência do Brasil
2138918400;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2140732800;segunda-feira;Finados
2141856000;domingo;Proclamação da República
2142288000;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
2145312000;sexta-feira;Natal
2145916800;sexta-feira;Confraternização Universal
2151619200;segunda-feira;Carnaval
2151705600;terça-feira;Carnaval
2155420800;quarta-feira;Tiradentes
2155593600;sexta-feira;Paixão de Cristo
2156284800;sábado;Dia do Trabalho
2160950400;quinta-feira;Corpus Christi
2167430400;terça-feira;Independência do Brasil
2170454400;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2172268800;terça-feira;Finados
2173392000;segunda-feira;Proclamação da República
2173824000;sábado;Dia Nacional de Zumbi e da Consciência Negra
2176848000;sábado;Natal
2177452800;sábado;Confraternização Universal
2181859200;segunda-feira;Carnaval
2181945600;terça-feira;Carnaval
2185833600;sexta-feira;Paixão de Cristo
2186956800;quinta-feira;Tiradentes
2187820800;domingo;Dia do Trabalho
2191190400;quinta-feira;Corpus Christi
2198966400;quarta-feira;Independência do Brasil
2201990400;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2203804800;quarta-feira;Finados
2204928000;terça-feira;Proclamação da República
2205360000;domingo;Dia Nacional de Zumbi e da Consciência Negra
2208384000;domingo;Natal
2208988800;domingo;Confraternização Universal
2212704000;segunda-feira;Carnaval
2212790400;terça-feira;Carnaval
2216678400;sexta-feira;Paixão de Cristo
2218579200;sábado;Tiradentes
2219443200;terça-feira;Dia do Trabalho
2222035200;quinta-feira;Corpus Christi
2230588800;sexta-feira;Independência do Brasil
2233612800;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2235427200;sexta-feira;Finados
2236550400;quinta-feira;Proclamação da República
2236982400;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
2240006400;terça-feira;Natal
2240611200;terça-feira;Confraternização Universal
2245968000;segunda-feira;Carnaval
2246054400;terça-feira;Carnaval
2249942400;sexta-feira;Paixão de Cristo
2250115200;domingo;Tiradentes
2250979200;quarta-feira;Dia do Trabalho
2255299200;quinta-feira;Corpus Christi
2262124800;sábado;Independência do Brasil
2265148800;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
2266963200;sábado;Finados
2268086400;sexta-feira;Proclamação da República
2268518400;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
2271542400;quarta-feira;Natal
2272147200;quarta-feira;Confraternização Universal
2276208000;segunda-feira;Carnaval
2276294400;terça-feira;Carnaval
2280182400;sexta-feira;Paixão de Cristo
2281651200;segunda-feira;Tiradentes
2282515200;quinta-feira;Dia do Trabalho
2285539200;quinta-feira;Corpus Christi
2293660800;domingo;Independência do Brasil
2296684800;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2298499200;domingo;Finados
2299622400;sábado;Proclamação da República
2300054400;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2303078400;quinta-feira;Natal
2303683200;quinta-feira;Confraternização Universal
2307052800;segunda-feira;Carnaval
2307139200;terça-feira;Carnaval
2311027200;sexta-feira;Paixão de Cristo
2313187200;terça-feira;Tiradentes
2314051200;sexta-feira;Dia do Trabalho
2316384000;quinta-feira;Corpus Christi
2325196800;segunda-feira;Independência do Brasil
2328220800;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2330035200;segunda-feira;Finados
2331158400;domingo;Proclamação da República
2331590400;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
2334614400;sexta-feira;Natal
2335219200;sexta-feira;Confraternização Universal
2340316800;segunda-feira;Carnaval
2340403200;terça-feira;Carnaval
2344291200;sexta-feira;Paixão de Cristo
2344809600;quinta-feira;Tiradentes
2345673600;domingo;Dia do Trabalho
2349648000;quinta-feira;Corpus Christi
2356819200;quarta-feira;Independência do Brasil
2359843200;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2361657600;quarta-feira;Finados
2362780800;terça-feira;Proclamação da República
2363212800;domingo;Dia Nacional de Zumbi e da Consciência Negra
2366236800;domingo;Natal
2366841600;domingo;Confraternização Universal
2371161600;segunda-feira;Carnaval
2371248000;terça-feira;Carnaval
2375136000;sexta-feira;Paixão de Cristo
2376345600;sexta-feira;Tiradentes
2377209600;segunda-feira;Dia do Trabalho
2380492800;quinta-feira;Corpus Christi
2388355200;quinta-feira;Independência do Brasil
2391379200;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2393193600;quinta-feira;Finados
2394316800;quarta-feira;Proclamação da República
2394748800;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2397772800;segunda-feira;Natal
2398377600;segunda-feira;Confraternização Universal
2401401600;segunda-feira;Carnaval
2401488000;terça-feira;Carnaval
2405376000;sexta-feira;Paixão de Cristo
2407881600;sábado;Tiradentes
2408745600;terça-feira;Dia do Trabalho
2410732800;quinta-feira;Corpus Christi
2419891200;sexta-feira;Independência do Brasil
2422915200;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2424729600;sexta-feira;Finados
2425852800;quinta-feira;Proclamação da República
2426284800;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
2429308800;terça-feira;Natal
2429913600;terça-feira;Confraternização Universal
2434665600;segunda-feira;Carnaval
2434752000;terça-feira;Carnaval
2438640000;sexta-feira;Paixão de Cristo
2439417600;domingo;Tiradentes
2440281600;quarta-feira;Dia do Trabalho
2443996800;quinta-feira;Corpus Christi
2451427200;sábado;Independência do Brasil
2454451200;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
2456265600;sábado;Finados
2457388800;sexta-feira;Proclamação da República
2457820800;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
2460844800;quarta-feira;Natal
2461449600;quarta-feira;Confraternização Universal
2465510400;segunda-feira;Carnaval
2465596800;terça-feira;Carnaval
2469484800;sexta-feira;Paixão de Cristo
2471040000;terça-feira;Tiradentes
2471904000;sexta-feira;Dia do Trabalho
2474841600;quinta-feira;Corpus Christi
2483049600;segunda-feira;Independência do Brasil
2486073600;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2487888000;segunda-feira;Finados
2489011200;domingo;Proclamação da República
2489443200;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
2492467200;sexta-feira;Natal
2493072000;sexta-feira;Confraternização Universal
2498169600;segunda-feira;Carnaval
2498256000;terça-feira;Carnaval
2502144000;sexta-feira;Paixão de Cristo
2502576000;quarta-feira;Tiradentes
2503440000;sábado;Dia do Trabalho
2507500800;quinta-feira;Corpus Christi
2514585600;terça-feira;Independência do Brasil
2517609600;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2519424000;terça-feira;Finados
2520547200;segunda-feira;Proclamação da República
2520979200;sábado;Dia Nacional de Zumbi e da Consciência Negra
2524003200;sábado;Natal
2524608000;sábado;Confraternização Universal
2529014400;segunda-feira;Carnaval
2529100800;terça-feira;Carnaval
2532988800;sexta-feira;Paixão de Cristo
2534112000;quinta-feira;Tiradentes
2534976000;domingo;Dia do Trabalho
2538345600;quinta-feira;Corpus Christi
2546121600;quarta-feira;Independência do Brasil
2549145600;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2550960000;quarta-feira;Finados
2552083200;terça-feira;Proclamação da República
2552515200;domingo;Dia Nacional de Zumbi e da Consciência Negra
2555539200;domingo;Natal
2556144000;domingo;Confraternização Universal
2559859200;segunda-feira;Carnaval
2559945600;terça-feira;Carnaval
2563833600;sexta-feira;Paixão de Cristo
2565648000;sexta-feira;Tiradentes
2566512000;segunda-feira;Dia do Trabalho
2569190400;quinta-feira;Corpus Christi
2577657600;quinta-feira;Independência do Brasil
2580681600;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
2582496000;quinta-feira;Finados
2583619200;quarta-feira;Proclamação da República
2584051200;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
2587075200;segunda-feira;Natal
2587680000;segunda-feira;Confraternização Universal
2593123200;segunda-feira;Carnaval
2593209600;terça-feira;Carnaval
2597097600;sexta-feira;Paixão de Cristo
2597270400;domingo;Tiradentes
2598134400;quarta-feira;Dia do Trabalho
2602454400;quinta-feira;Corpus Christi
2609280000;sábado;Independência do Brasil
2612304000;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
2614118400;sábado;Finados
2615241600;sexta-feira;Proclamação da República
2615673600;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
2618697600;quarta-feira;Natal
2619302400;quarta-feira;Confraternização Universal
2623363200;segunda-feira;Carnaval
2623449600;terça-feira;Carnaval
2627337600;sexta-feira;Paixão de Cristo
2628806400;segunda-feira;Tiradentes
2629670400;quinta-feira;Dia do Trabalho
2632694400;quinta-feira;Corpus Christi
2640816000;domingo;Independência do Brasil
2643840000;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
2645654400;domingo;Finados
2646777600;sábado;Proclamação da República
2647209600;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
2650233600;quinta-feira;Natal
2650838400;quinta-feira;Confraternização Universal
2654208000;segunda-feira;Carnaval
2654294400;terça-feira;Carnaval
2658182400;sexta-feira;Paixão de Cristo
2660342400;terça-feira;Tiradentes
